sk_product,product_id,product_name,category,supplier_company,list_price,standard_cost,quantity_per_unit,discontinued
1,1,Chai,Beverages,Supplier D,18.0,13.5,10 boxes x 20 bags,False
2,3,Syrup,Condiments,Supplier J,10.0,7.5,12 - 550 ml bottles,False
3,4,Cajun Seasoning,Condiments,Supplier J,22.0,16.5,48 - 6 oz jars,False
4,5,Olive Oil,Oil,Supplier J,21.35,16.0125,36 boxes,False
5,6,Boysenberry Spread,"Jams, Preserves",Supplier B,25.0,18.75,12 - 8 oz jars,False
6,7,Dried Pears,Dried Fruit & Nuts,Supplier B,30.0,22.5,12 - 1 lb pkgs.,False
7,8,Curry Sauce,Sauces,Supplier H,40.0,30.0,12 - 12 oz jars,False
8,14,Walnuts,Dried Fruit & Nuts,Supplier B,23.25,17.4375,40 - 100 g pkgs.,False
9,17,Fruit Cocktail,Canned Fruit & Vegetables,Supplier F,39.0,29.25,15.25 OZ,False
10,19,Chocolate Biscuits Mix,Baked Goods & Mixes,Supplier A,9.2,6.9,10 boxes x 12 pieces,False
11,20,Marmalade,"Jams, Preserves",Supplier B,81.0,60.75,30 gift boxes,False
12,21,Scones,Baked Goods & Mixes,Supplier A,10.0,7.5,24 pkgs. x 4 pieces,False
13,34,Beer,Beverages,Supplier D,14.0,10.5,24 - 12 oz bottles,False
14,40,Crab Meat,Canned Meat,Supplier G,18.4,13.8,24 - 4 oz tins,False
15,41,Clam Chowder,Soups,Supplier F,9.65,7.2375,12 - 12 oz cans,False
16,43,Coffee,Beverages,Supplier C,46.0,34.5,16 - 500 g tins,False
17,48,Chocolate,Candy,Supplier J,12.75,9.5625,10 pkgs,False
18,51,Dried Apples,Dried Fruit & Nuts,Supplier B,53.0,39.75,50 - 300 g pkgs.,False
19,52,Long Grain Rice,Grains,Supplier A,7.0,5.25,16 - 2 kg boxes,False
20,56,Gnocchi,Pasta,Supplier A,38.0,28.5,24 - 250 g pkgs.,False
21,57,Ravioli,Pasta,Supplier A,19.5,14.625,24 - 250 g pkgs.,False
22,65,Hot Pepper Sauce,Sauces,Supplier H,21.05,15.7875,32 - 8 oz bottles,False
23,66,Tomato Sauce,Sauces,Supplier H,17.0,12.75,24 - 8 oz jars,False
24,72,Mozzarella,Dairy products,Supplier E,34.8,26.1,24 - 200 g pkgs.,False
25,74,Almonds,Dried Fruit & Nuts,Supplier B,10.0,7.5,5 kg pkg.,False
26,77,Mustard,Condiments,Supplier J,13.0,9.75,12 boxes,False
27,80,Dried Plums,Dried Fruit & Nuts,Supplier B,3.5,3.0,1 lb bag,False
28,81,Green Tea,Beverages,Supplier C,2.99,2.0,20 bags per box,False
29,82,Granola,Cereal,Supplier A,4.0,2.0,,False
30,83,Potato Chips,"Chips, Snacks",Supplier I,1.8,0.5,,False
31,85,Brownie Mix,Baked Goods & Mixes,Supplier A,12.49,9.0,3 boxes,False
32,86,Cake Mix,Baked Goods & Mixes,Supplier A,15.99,10.5,4 boxes,False
33,87,Tea,Beverages,Supplier G,4.0,2.0,100 count per box,False
34,88,Pears,Canned Fruit & Vegetables,Supplier F,1.3,1.0,15.25 OZ,False
35,89,Peaches,Canned Fruit & Vegetables,Supplier F,1.5,1.0,15.25 OZ,False
36,90,Pineapple,Canned Fruit & Vegetables,Supplier F,1.8,1.0,15.25 OZ,False
37,91,Cherry Pie Filling,Canned Fruit & Vegetables,Supplier F,2.0,1.0,15.25 OZ,False
38,92,Green Beans,Canned Fruit & Vegetables,Supplier F,1.2,1.0,14.5 OZ,False
39,93,Corn,Canned Fruit & Vegetables,Supplier F,1.2,1.0,14.5 OZ,False
40,94,Peas,Canned Fruit & Vegetables,Supplier F,1.5,1.0,14.5 OZ,False
41,95,Tuna Fish,Canned Meat,Supplier G,2.0,0.5,5 oz,False
42,96,Smoked Salmon,Canned Meat,Supplier G,4.0,2.0,5 oz,False
43,97,Hot Cereal,Cereal,Supplier A,5.0,3.0,,False
44,98,Vegetable Soup,Soups,Supplier F,1.89,1.0,,False
45,99,Chicken Soup,Soups,Supplier F,1.95,1.0,,False
